CCAA;Fecha;Viajeros
Andalucía;01/01/2020;18151
Aragón;01/01/2020;10783
Asturias;01/01/2020;2882
Canarias;01/01/2020;5817
Castilla y León;01/01/2020;6058
Castilla - La Mancha;01/01/2020;1739
Cataluña;01/01/2020;25823
Comunitat Valenciana;01/01/2020;12273
Extremadura;01/01/2020;871
Galicia;01/01/2020;5379
Madrid;01/01/2020;45470
Murcia;01/01/2020;1768
País Vasco;01/01/2020;7895
Andalucía;01/02/2020;18262
Aragón;01/02/2020;10979
Asturias;01/02/2020;2825
Canarias;01/02/2020;5622
Castilla y León;01/02/2020;6152
Castilla - La Mancha;01/02/2020;1774
Cataluña;01/02/2020;26622
Comunitat Valenciana;01/02/2020;12715
Extremadura;01/02/2020;950
Galicia;01/02/2020;5228
Madrid;01/02/2020;47576
Murcia;01/02/2020;1884
País Vasco;01/02/2020;7880
Andalucía;01/03/2020;9238
Aragón;01/03/2020;5003
Asturias;01/03/2020;1241
Canarias;01/03/2020;2978
Castilla y León;01/03/2020;2808
Castilla - La Mancha;01/03/2020;848
Cataluña;01/03/2020;12881
Comunitat Valenciana;01/03/2020;5933
Extremadura;01/03/2020;489
Galicia;01/03/2020;2763
Madrid;01/03/2020;20878
Murcia;01/03/2020;880
País Vasco;01/03/2020;3551
Andalucía;01/04/2020;1662
Aragón;01/04/2020;918
Asturias;01/04/2020;403
Canarias;01/04/2020;670
Castilla y León;01/04/2020;339
Castilla - La Mancha;01/04/2020;138
Cataluña;01/04/2020;1837
Comunitat Valenciana;01/04/2020;1002
Extremadura;01/04/2020;88
Galicia;01/04/2020;549
Madrid;01/04/2020;3693
Murcia;01/04/2020;107
País Vasco;01/04/2020;656
Andalucía;01/05/2020;3602
Aragón;01/05/2020;2351
Asturias;01/05/2020;558
Canarias;01/05/2020;1329
Castilla y León;01/05/2020;711
Castilla - La Mancha;01/05/2020;291
Cataluña;01/05/2020;4471
Comunitat Valenciana;01/05/2020;2405
Extremadura;01/05/2020;179
Galicia;01/05/2020;1225
Madrid;01/05/2020;7114
Murcia;01/05/2020;280
País Vasco;01/05/2020;1701
Andalucía;01/06/2020;7927
Aragón;01/06/2020;5356
Asturias;01/06/2020;1336
Canarias;01/06/2020;2997
Castilla y León;01/06/2020;2009
Castilla - La Mancha;01/06/2020;624
Cataluña;01/06/2020;9987
Comunitat Valenciana;01/06/2020;5525
Extremadura;01/06/2020;353
Galicia;01/06/2020;2371
Madrid;01/06/2020;16872
Murcia;01/06/2020;620
País Vasco;01/06/2020;3635
Andalucía;01/07/2020;9633
Aragón;01/07/2020;5762
Asturias;01/07/2020;1782
Canarias;01/07/2020;3758
Castilla y León;01/07/2020;2970
Castilla - La Mancha;01/07/2020;800
Cataluña;01/07/2020;13730
Comunitat Valenciana;01/07/2020;7105
Extremadura;01/07/2020;439
Galicia;01/07/2020;3228
Madrid;01/07/2020;21455
Murcia;01/07/2020;717
País Vasco;01/07/2020;4444
Andalucía;01/08/2020;8572
Aragón;01/08/2020;4446
Asturias;01/08/2020;1633
Canarias;01/08/2020;3334
Castilla y León;01/08/2020;2586
Castilla - La Mancha;01/08/2020;702
Cataluña;01/08/2020;10488
Comunitat Valenciana;01/08/2020;5756
Extremadura;01/08/2020;383
Galicia;01/08/2020;2805
Madrid;01/08/2020;16473
Murcia;01/08/2020;490
País Vasco;01/08/2020;3702
Andalucía;01/09/2020;10631
Aragón;01/09/2020;6652
Asturias;01/09/2020;1809
Canarias;01/09/2020;3683
Castilla y León;01/09/2020;3293
Castilla - La Mancha;01/09/2020;907
Cataluña;01/09/2020;15328
Comunitat Valenciana;01/09/2020;7395
Extremadura;01/09/2020;593
Galicia;01/09/2020;3378
Madrid;01/09/2020;23211
Murcia;01/09/2020;747
País Vasco;01/09/2020;4929
Andalucía;01/10/2020;11499
Aragón;01/10/2020;7068
Asturias;01/10/2020;1898
Canarias;01/10/2020;4316
Castilla y León;01/10/2020;3586
Castilla - La Mancha;01/10/2020;1070
Cataluña;01/10/2020;17094
Comunitat Valenciana;01/10/2020;7714
Extremadura;01/10/2020;697
Galicia;01/10/2020;3662
Madrid;01/10/2020;26571
Murcia;01/10/2020;882
País Vasco;01/10/2020;5451
Andalucía;01/11/2020;9503
Aragón;01/11/2020;6432
Asturias;01/11/2020;1344
Canarias;01/11/2020;3954
Castilla y León;01/11/2020;3154
Castilla - La Mancha;01/11/2020;1010
Cataluña;01/11/2020;15412
Comunitat Valenciana;01/11/2020;7338
Extremadura;01/11/2020;637
Galicia;01/11/2020;3378
Madrid;01/11/2020;26199
Murcia;01/11/2020;797
País Vasco;01/11/2020;4964
Andalucía;01/12/2020;10079
Aragón;01/12/2020;6666
Asturias;01/12/2020;1531
Canarias;01/12/2020;3962
Castilla y León;01/12/2020;3292
Castilla - La Mancha;01/12/2020;971
Cataluña;01/12/2020;15581
Comunitat Valenciana;01/12/2020;7293
Extremadura;01/12/2020;550
Galicia;01/12/2020;3267
Madrid;01/12/2020;26107
Murcia;01/12/2020;828
País Vasco;01/12/2020;5078
