CCAA	Mes	Año	Viajeros
Andalucía	febrero	2021	8627
Andalucía	enero	2021	8888
Andalucía	diciembre	2020	10079
Andalucía	noviembre	2020	9503
Andalucía	octubre	2020	11499
Andalucía	septiembre	2020	10631
Andalucía	agosto	2020	8572
Andalucía	julio	2020	9633
Andalucía	junio	2020	7927
Andalucía	mayo	2020	3602
Andalucía	abril	2020	1662
Andalucía	marzo	2020	9238
Andalucía	febrero	2020	18262
Andalucía	enero	2020	18151
Aragón	febrero	2021	6443
Aragón	enero	2021	6020
Aragón	diciembre	2020	6666
Aragón	noviembre	2020	6432
Aragón	octubre	2020	7068
Aragón	septiembre	2020	6652
Aragón	agosto	2020	4446
Aragón	julio	2020	5762
Aragón	junio	2020	5356
Aragón	mayo	2020	2351
Aragón	abril	2020	918
Aragón	marzo	2020	5003
Aragón	febrero	2020	10979
Aragón	enero	2020	10783
Asturias	febrero	2021	1453
Asturias	enero	2021	1544
Asturias	diciembre	2020	1531
Asturias	noviembre	2020	1344
Asturias	octubre	2020	1898
Asturias	septiembre	2020	1809
Asturias	agosto	2020	1633
Asturias	julio	2020	1782
Asturias	junio	2020	1336
Asturias	mayo	2020	558
Asturias	abril	2020	403
Asturias	marzo	2020	1241
Asturias	febrero	2020	2825
Asturias	enero	2020	2882
Canarias	febrero	2021	3661
Canarias	enero	2021	3640
Canarias	diciembre	2020	3962
Canarias	noviembre	2020	3954
Canarias	octubre	2020	4316
Canarias	septiembre	2020	3683
Canarias	agosto	2020	3334
Canarias	julio	2020	3758
Canarias	junio	2020	2997
Canarias	mayo	2020	1329
Canarias	abril	2020	670
Canarias	marzo	2020	2978
Canarias	febrero	2020	5622
Canarias	enero	2020	5817
Castilla y León	febrero	2021	3235
Castilla y León	enero	2021	2910
Castilla y León	diciembre	2020	3292
Castilla y León	noviembre	2020	3154
Castilla y León	octubre	2020	3586
Castilla y León	septiembre	2020	3293
Castilla y León	agosto	2020	2586
Castilla y León	julio	2020	2970
Castilla y León	junio	2020	2009
Castilla y León	mayo	2020	711
Castilla y León	abril	2020	339
Castilla y León	marzo	2020	2808
Castilla y León	febrero	2020	6152
Castilla y León	enero	2020	6058
Castilla - La Mancha	febrero	2021	895
Castilla - La Mancha	enero	2021	663
Castilla - La Mancha	diciembre	2020	971
Castilla - La Mancha	noviembre	2020	1010
Castilla - La Mancha	octubre	2020	1070
Castilla - La Mancha	septiembre	2020	907
Castilla - La Mancha	agosto	2020	702
Castilla - La Mancha	julio	2020	800
Castilla - La Mancha	junio	2020	624
Castilla - La Mancha	mayo	2020	291
Castilla - La Mancha	abril	2020	138
Castilla - La Mancha	marzo	2020	848
Castilla - La Mancha	febrero	2020	1774
